num,id,Province,Place,time,ph,sol,amm,per,toc,Points,Result,Y,rain
2,114,Jiangxi,Jiujianghamashi,2015120108,7.19,9.17,3.94,9999,0.24,6,Clean,0,0
2,116,Liaoning,Fushundahuofangshuiku,2015120108,7.65,11.1,1.77,9999,0.02,4,Clean,0,0
2,117,Sichuan,Yibinliangjianggou,2015120108,7.6,9.22,1.82,9999,0.15,4,Clean,0,0.7
2,119,Sichuan,Leshanminjiangdaqiao,2015120108,7.75,9.21,2.95,9999,0.4,6,Clean,0,0
2,121,Neimenggu,Wuhaihaibowan,2015120108,8.32,9.73,3.39,9999,0.32,6,Clean,0,0
2,122,Henan,Zhoukoushenqiuzha,2015120108,7.19,5.5,6.45,6.35,1.22,12,Polluted,1,0
2,124,Yunnan,Kunmingguanyinshan,2015120108,9.26,7.87,12.02,9999,0.24,21,Polluted,1,0.3
2,125,Hubei,Danjiangkouhujialing,2015120108,7.85,9.36,-1,9999,0.12,3,Clean,0,0
2,126,Guangxi,Guigangshizui,2015120108,6.97,7.12,-1,9999,0.25,5,Clean,0,0
2,127,Guangxi,Pingxiangpingerguan,2015120108,7.51,8.78,1.49,9999,0.1,4,Clean,0,0.3
2,128,Fujian,Fuzhoubaiyantan,2015120108,6.83,6.37,-1,9999,-3,3,Clean,0,0.2
2,132,Liaoning,Liaoyangtangheshuiku,2015120108,-1,-1,2,9999,-1,1,Inconclusive,-,0
2,133,Heilongjiang,Heihe,2015120108,6.58,9.23,6.9,9999,0.24,8,Clean,0,0
2,134,Shandong,Zaozhuangtaierzhuang,2015120108,7.06,2.71,3.82,9999,0.21,13,Polluted,1,0
2,140,Yunnan,Xishuangbannaganlanba,2015120108,7.37,5.94,1.6,-1,0.66,8,Clean,0,0
2,142,Guangdong,Zhongshanhenglan,2015120108,7.16,10.16,1.7,9999,0.18,5,Clean,0,0
2,146,Yunnan,Honghezhouhekou,2015120108,8.41,7.29,1.67,2.51,0.39,6,Clean,0,0
2,147,Shandong,Linyizhongfangqiao,2015120108,7.74,11.03,4,5,0.2,6,Clean,0,0
2,149,Anhui,Chuzhouxiaoliuxiang,2015120108,7.91,9.83,3.2,3.9,0.3,6,Clean,0,0
2,150,Shandong,Linyilaogouqiao,2015120108,7.55,12.98,5.97,7.46,0.93,8,Clean,0,0
2,151,Anhui,Suzhousixiangongluqiao,2015120108,7.79,13.87,6.6,6,0.41,8,Clean,0,0
2,153,Jiangsu,Xuzhouxiaohongquan,2015120108,6,4.44,2.64,3.3,0.69,10,Polluted,1,0
2,154,Henan,Xinyanghuaibinshuiwenzhan,2015120108,7.43,11.43,7,6.1,0.42,8,Clean,0,0
2,155,Anhui,Bozhouyanji,2015120108,7.62,4.97,0.06,-1,-1,6,Clean,0,0
2,156,Jiangsu,Lianyungangdaxingqiao,2015120108,8.01,7.3,3.62,5.41,0.72,8,Clean,0,0
2,159,Anhui,Suzhouyangzhuang,2015120108,7.57,5.76,6.9,5.4,2.42,18,Polluted,1,0
2,162,Henan,Xinyangjiangjishuiwenzhan,2015120108,7.99,9.38,0.9,5,0.4,5,Clean,0,0
2,164,Jiangsu,Xuzhoulijiqiao,2015120108,7.76,8.85,4.18,7.64,0.8,8,Clean,0,0
2,167,Guizhou,Chishuilianyuxi,2015120108,7.79,10.23,3.52,9999,0.26,6,Clean,0,0.3
2,168,Hubei,Ezhouqixing,2015120108,7.9,9.65,3.49,9999,0.25,6,Clean,0,0
2,175,Hunan,Changdeshahekou,2015120108,7.91,-1,1,9999,0.56,5,Clean,0,0
2,176,Hunan,Yiyangnanzui,2015120108,9.67,13.7,1.93,9999,0.31,14,Polluted,1,0
2,177,Yunnan,Yuxigushan,2015120108,8.76,7.86,0.12,9999,0.02,4,Clean,0,0
2,178,Ningxia,Shizuishanmahuanggou,2015120108,8.25,8.5,1.85,9999,0.39,5,Clean,0,0
2,179,Gansu,Tianshuiniubei,2015120108,7.95,8.57,2.5,9999,0.29,6,Clean,0,0
2,180,Jilin,Jianshanghuolong,2015120108,8.74,-1,1.43,9999,0.33,4,Clean,0,0
2,181,Qinghai,Huangshuiminheqiao,2015120108,8.44,9.24,3.67,9999,2.43,14,Polluted,1,0
2,182,Neimenggu,Hulunbeiercuogang,2015120108,7.33,5.32,6.5,9999,0.04,9,Clean,0,0
2,183,Neimenggu,Hulunbeierdatieqiao,2015120108,7.23,10.5,3.9,9999,0.1,5,Clean,0,0
2,186,Jilin,Linjiangweishahe,2015120108,7.77,2.7,2.86,9999,0.22,13,Polluted,1,0
